sample	CNB (number of segments)	nb.altered.segments	size.amp	prop.amp	size.del	prop.del	ploidy	wholeGenomeDuplication	CN1	CN2	CN5	CN9	CN15	CN18	CN19
MESO_058_T2	46	0	0	0	0	0	2	FALSE	46	0	0	0	0	0	0
MESO_059_T1	46	0	0	0	0	0	2	FALSE	46	0	0	0	0	0	0
MESO_060_T	59	7	0	0	1.32E+08	0.042814	1.94	FALSE	40	0	0	0	0	0	19
MESO_061_T	107	64	3.97E+08	0.128406	6.41E+08	0.207481	1.94	FALSE	30	0	0	77	0	0	0
MESO_062_T2	80	25	98476636	0.032489	4.07E+08	0.13421	1.9	FALSE	36	0	0	43	0	0	0
MESO_063_T	116	111	2.86E+09	0.927218	47767529	0.015467	3.85	TRUE	0	53	0	0	59	0	0
MESO_064_T	146	70	98883748	0.032019	9.48E+08	0.307115	1.7	FALSE	24	0	0	122	0	0	0
MESO_065_T	67	17	98584630	0.032525	2.94E+08	0.096913	1.92	FALSE	35	0	0	32	0	0	0
MESO_066_T	74	25	40676000	0.013171	3.92E+08	0.126987	1.9	FALSE	41	0	0	33	0	0	0
MESO_067_T	67	19	1E+08	0.033023	1.82E+08	0.060168	2	FALSE	44	0	0	0	0	0	23
MESO_068_T	113	45	31369313	0.010158	5.47E+08	0.177284	1.82	FALSE	32	0	0	81	0	0	0
MESO_069_T	176	41	2.12E+08	0.068695	2.64E+08	0.085425	2.06	FALSE	0	0	0	82	0	0	92
MESO_070_T	102	54	91700779	0.030254	5.27E+08	0.173726	1.86	FALSE	39	0	0	63	0	0	0
MESO_071_T	98	44	1.81E+08	0.0586	1.02E+09	0.329912	1.72	FALSE	28	0	0	69	0	0	0
MESO_072_T	91	31	19287851	0.006246	3.36E+08	0.108957	1.88	FALSE	39	0	0	52	0	0	0
MESO_073_T	83	46	2.62E+08	0.086449	1.03E+09	0.338638	1.8	FALSE	35	0	0	48	0	0	0
MESO_074_T	87	32	62466478	0.020609	6.23E+08	0.205658	1.82	FALSE	37	0	0	49	0	0	0
MESO_075_T	120	120	3.03E+09	0.998258	0	0	3.3	TRUE	0	59	0	0	0	51	0
MESO_076_T	48	0	0	0	0	0	2	FALSE	48	0	0	0	0	0	0
MESO_077_T	71	53	1.97E+09	0.637631	32105829	0.010396	3.75	TRUE	26	44	0	0	0	0	0
MESO_078_T	167	92	2.34E+08	0.075639	8.07E+08	0.261159	1.82	FALSE	27	0	0	139	0	0	0
MESO_079_T	127	63	1.22E+08	0.039453	4.33E+08	0.140083	1.92	FALSE	34	0	33	58	0	0	0
MESO_080_T	106	47	92905185	0.030083	6.44E+08	0.208381	1.82	FALSE	38	0	0	68	0	0	0
MESO_081_T	64	25	13018000	0.004295	6.43E+08	0.212211	1.74	FALSE	44	0	0	0	0	0	20
MESO_082_T	105	39	4538895	0.00147	5.1E+08	0.165249	1.76	FALSE	35	0	0	70	0	0	0
MESO_083_T	126	121	1.98E+09	0.639889	64779906	0.020976	3.35	TRUE	0	44	0	0	79	0	0
MESO_084_T	95	28	4548404	0.001473	2.49E+08	0.080485	1.92	FALSE	39	0	0	56	0	0	0
MESO_085_T	71	50	1.11E+09	0.359889	1.72E+08	0.055593	2.54	TRUE	15	40	0	0	0	0	16
MESO_086_T	78	18	1431000	4.72E-04	3.5E+08	0.115328	1.88	FALSE	43	0	0	0	0	0	34
MESO_087_T	177	102	1.78E+08	0.058604	8.1E+08	0.267168	1.82	FALSE	31	0	0	146	0	0	0
MESO_088_T	138	75	31286014	0.010131	1.12E+09	0.36333	1.64	FALSE	20	0	0	88	0	0	30
MESO_089_T	167	57	2.76E+08	0.089219	2.64E+08	0.085478	2.1	FALSE	27	0	0	82	0	0	52
MESO_090_T	48	0	0	0	0	0	2.02	FALSE	48	0	0	0	0	0	0
MESO_091_T	74	22	4438404	0.001437	4.69E+08	0.152001	1.86	FALSE	44	0	0	30	0	0	0
MESO_092_T	112	97	2.09E+09	0.678373	1.03E+08	0.033491	3.05	TRUE	0	49	0	0	40	0	22
MESO_093_T	89	54	7.6E+08	0.250709	2.41E+08	0.079369	2.3	FALSE	24	15	0	18	27	0	0
MESO_094_T1	112	51	53033454	0.017173	6.75E+08	0.218579	1.82	FALSE	38	0	0	73	0	0	0
MESO_095_T	122	58	5776404	0.00187	9.14E+08	0.295828	1.68	FALSE	30	0	0	92	0	0	0
MESO_097_T	112	49	93303062	0.030212	3.27E+08	0.105974	1.94	FALSE	35	0	25	51	0	0	0
MESO_098_T	131	124	2.64E+09	0.856172	85463415	0.027674	3.3	TRUE	0	56	0	0	72	0	0
MESO_099_T	214	111	2.49E+08	0.080682	4.52E+08	0.146308	1.98	FALSE	25	0	66	122	0	0	0
MESO_100_T	158	158	2.85E+09	0.923405	64940906	0.021028	3.95	TRUE	0	56	0	0	100	0	0
MESO_101_T	147	65	60285748	0.019521	5.43E+08	0.175736	1.88	FALSE	32	0	0	115	0	0	0
MESO_102_T	184	183	2.2E+09	0.713357	5648000	0.001829	3.45	TRUE	0	47	35	0	101	0	0
MESO_104_T	111	109	2.59E+09	0.85514	277000	9.14E-05	3.5	TRUE	0	44	0	0	64	0	0
MESO_105_T	100	39	56783748	0.018387	5.65E+08	0.182878	1.88	FALSE	33	0	0	67	0	0	0
MESO_106_T	53	3	0	0	568000	1.87E-04	2	FALSE	37	0	0	0	0	0	16
MESO_107_T	675	657	2.64E+09	0.870736	4609000	0.001521	3.4	TRUE	0	0	0	0	0	630	0
MESO_108_T	68	64	48540853	0.016015	2.67E+09	0.882447	1.1	FALSE	0	0	0	68	0	0	0
MESO_109_T	102	40	2.92E+08	0.09439	1.62E+08	0.052386	2.06	FALSE	40	0	0	62	0	0	0
MESO_110_T	72	21	1.8E+08	0.058175	1.4E+08	0.045337	2.04	FALSE	39	0	0	0	0	0	33
MESO_111_T	196	117	4.81E+08	0.15856	4.15E+08	0.136792	2.24	FALSE	21	0	0	142	33	0	0
MESO_112_T	155	147	2.43E+09	0.785568	517000	1.67E-04	3.3	TRUE	0	54	0	0	43	53	0
MESO_113_T	189	86	61577200	0.019939	3.62E+08	0.117057	1.9	FALSE	30	0	56	103	0	0	0
MESO_116_T	110	46	1.28E+08	0.041583	5.59E+08	0.181081	1.84	FALSE	31	0	0	79	0	0	0
MESO_117_T	65	15	6454000	0.002129	2.3E+08	0.075873	1.98	FALSE	43	0	0	0	0	0	22
MESO_118_T	186	90	38561838	0.012487	5.7E+08	0.18456	1.74	FALSE	28	0	0	158	0	0	0
MESO_119_T	166	68	51267084	0.016601	4.73E+08	0.1532	1.84	FALSE	29	0	0	137	0	0	0
MESO_120_T	149	69	8517461	0.002758	7.95E+08	0.257511	1.74	FALSE	27	0	0	122	0	0	0
MESO_121_T	113	46	4576895	0.001482	8.55E+08	0.276861	1.72	FALSE	29	0	0	83	0	0	0
MESO_122_T	108	46	37757441	0.012457	4.41E+08	0.14559	1.88	FALSE	37	0	0	69	0	0	0
MESO_123_T	96	48	1.34E+08	0.04329	6.86E+08	0.221982	1.82	FALSE	36	0	0	60	0	0	0
MESO_124_T	109	47	17046404	0.005624	2.95E+08	0.097183	1.9	FALSE	40	0	0	69	0	0	0
